1,1,54.46,61.63,122.5,59.71,1,1,1.0
1,2,311.5,0.0,398.03,113.4,1,1,1.0
1,3,96.47,0.15,221.33,62.35,1,1,1.0
1,4,0.0,12.62,17.5,32.21,1,1,1.0
2,1,33.2,57.0,121.93999999999998,59.14,1,1,1.0
2,2,310.9,0.0,398.14,113.26,1,1,1.0
2,3,96.43,0.15,222.17000000000002,61.75,1,1,1.0
2,4,0.0,12.62,10.23,32.21,1,1,1.0
3,1,17.61,53.4,114.69000000000001,60.14000000000001,1,1,1.0
3,2,310.6,0.0,397.94999999999993,113.12,1,1,1.0
3,3,96.38,0.15,221.72000000000003,62.2,1,1,1.0
3,4,0.0,14.18,2.96,32.21,1,1,1.0
4,1,3.07,52.36,111.53,59.64,1,1,1.0
4,2,309.7,0.0,398.35999999999996,112.98,1,1,1.0
4,3,96.34,0.15,221.26000000000002,62.65,1,1,1.0
5,1,0.0,49.24,93.82,55.46,1,1,1.0
5,2,309.2,0.0,398.38000000000005,112.84,1,1,1.0
5,3,95.13,0.15,221.13,62.63,1,1,1.0
6,1,0.0,46.65,76.7,53.35,1,1,1.0
6,2,308.8,0.0,397.8,112.7,1,1,1.0
6,3,95.14,0.15,220.84000000000003,62.59,1,1,1.0
7,1,0.0,44.0,58.0,52.400000000000006,1,1,1.0
7,2,308.2,0.0,397.90000000000003,112.56,1,1,1.0
7,3,95.15,0.15,220.54999999999998,62.550000000000004,1,1,1.0
8,1,0.0,41.9,41.9,48.300000000000004,1,1,1.0
8,2,307.7,0.0,397.50000000000006,112.41,1,1,1.0
8,3,95.16,0.15,219.23999999999998,62.25,1,1,1.0
9,1,0.0,41.9,26.8,41.50000000000001,1,1,1.0
9,2,307.6,0.0,397.1,112.27,1,1,1.0
9,3,95.17,0.15,219.09999999999997,62.25,1,1,1.0
10,1,0.0,41.9,12.8,37.9,1,1,1.0
10,2,307.3,0.0,397.40000000000003,112.13,1,1,1.0
10,3,95.18,0.15,218.95,62.25,1,1,1.0
10,5,918.45,188.56,41.549999999999955,87.74000000000001,1,1,1.0
11,2,306.8,0.0,397.40000000000003,111.99,1,1,1.0
11,3,95.19,0.15,218.81,62.25,1,1,1.0
11,5,869.2,185.0,90.79999999999995,88.89999999999998,1,1,1.0
12,2,307.2,0.0,396.00000000000006,111.85,1,1,1.0
12,3,95.2,0.15,218.7,62.25,1,1,1.0
12,5,822.3,169.4,137.70000000000005,99.70000000000002,1,1,1.0
13,2,306.4,0.0,397.28,111.71,1,1,1.0
13,3,95.21,0.15,218.59000000000003,62.25,1,1,1.0
